area,state,station_id,station_name,sensor_id,parameter,value,unit,datetime_utc,station_lat,station_lon
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237069,,0.39,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237067,,2.71,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237073,,137.8,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237066,,0.11,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237070,,0.0,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237071,,0.0,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237074,,35.66,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409341,"Manipur University, Imphal - Manipur PCB",12237068,,5.87,,2025-07-25T07:45:00Z,24.752423899999997,93.9286218
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242150,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242152,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242153,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242157,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242154,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242158,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242151,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242155,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Imphal,Manipur,3409342,"DM College of Science, Imphal - Manipur PCB",12242156,,0.0,,2025-09-07T01:45:00Z,24.8207389,93.9423085
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14963,,109.1,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14991,,74.29,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14964,,43.94,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14986,,0.64,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",35977,,0.0,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14996,,180.0,,2022-10-31T01:45:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235666,,0.35000000000000003,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235668,,16.5845,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235670,,61.51,,2026-06-18T04:15:00Z,23.002657,72.591912
